price,compressionratio,category
13495,9,-1
16500,9,-1
16500,9,-1
13950,10,-1
17450,8,-1
15250,8.5,-1
17710,8.5,-1
18920,8.5,-1
23875,8.3,-1
17859.167,7,-1
16430,8.8,-1
16925,8.8,-1
20970,9,-1
21105,9,-1
24565,9,-1
30760,8,-1
41315,8,-1
36880,8,-1
5151,9.5,-1
6295,9.6,-1
6575,9.6,-1
5572,9.41,-1
6377,9.4,-1
7957,7.6,-1
6229,9.4,-1
6692,9.4,-1
7609,9.4,-1
8558,7.6,-1
8921,8.5,-1
12964,7,-1
6479,9.6,-1
6855,9.2,-1
5399,10.1,-1
6529,9.2,-1
7129,9.2,-1
7295,9.2,-1
7295,9.2,-1
7895,9,-1
9095,9,-1
8845,9,-1
10295,9,-1
12945,9,-1
10345,9.1,-1
6785,8.5,-1
8916.5,9.6,-1
8916.5,9.6,-1
11048,9.2,-1
32250,8.1,-1
35550,8.1,-1
36000,11.5,-1
5195,9,-1
6095,9,-1
6795,9,-1
6695,9,-1
7395,9,-1
10945,9.4,-1
11845,9.4,-1
13645,9.4,-1
15645,9.4,-1
8845,8.6,-1
8495,8.6,-1
10595,8.6,-1
10245,8.6,-1
10795,22.7,1
11245,8.6,-1
18280,8,-1
18344,22,1
25552,21.5,1
28248,21.5,1
28176,21.5,1
31600,21.5,1
34184,8.3,-1
35056,8.3,-1
40960,8,-1
45400,8,-1
16503,8,-1
5389,9.4,-1
6189,9.4,-1
6669,9.4,-1
7689,7.6,-1
9959,7.5,-1
8499,8.5,-1
12629,7,-1
14869,7,-1
14489,7,-1
6989,8.5,-1
8189,8.5,-1
9279,7.5,-1
9279,7.5,-1
5499,9.4,-1
7099,21.9,1
6649,9.4,-1
6849,9.4,-1
7349,9.4,-1
7299,9.4,-1
7799,9.4,-1
7499,9.4,-1
7999,9.4,-1
8249,9.4,-1
8949,8.5,-1
9549,8.5,-1
13499,9,-1
14399,9,-1
13499,9,-1
17199,9,-1
19699,7.8,-1
18399,9,-1
11900,8.4,-1
13200,21,1
12440,8.4,-1
13860,21,1
15580,8.4,-1
16900,21,1
16695,8.4,-1
17075,21,1
16630,8.4,-1
17950,21,1
18150,7,-1
5572,9.4,-1
7957,7.6,-1
6229,9.4,-1
6692,9.4,-1
7609,9.4,-1
8921,8.5,-1
12764,7,-1
22018,9.5,-1
32528,9.5,-1
34028,9.5,-1
37028,9.5,-1
31400.5,10,-1
9295,8.7,-1
9895,8.7,-1
11850,9.31,-1
12170,9.3,-1
15040,9.3,-1
15510,9.3,-1
18150,9,-1
18620,9,-1
5118,9,-1
7053,8.7,-1
7603,8.7,-1
7126,9.5,-1
7775,9.5,-1
9960,9,-1
9233,9,-1
11259,7.7,-1
7463,9,-1
10198,9,-1
8013,9,-1
11694,7.7,-1
5348,9,-1
6338,9,-1
6488,9,-1
6918,9,-1
7898,9,-1
8778,9,-1
6938,9,-1
7198,9,-1
7898,22.5,1
7788,22.5,1
7738,9,-1
8358,9,-1
9258,9,-1
8058,9,-1
8238,9,-1
9298,9.4,-1
9538,9.4,-1
8449,9.3,-1
9639,9.3,-1
9989,9.3,-1
11199,9.3,-1
11549,9.3,-1
17669,9.3,-1
8948,8.7,-1
10698,22.5,1
9988,8.7,-1
10898,8.7,-1
11248,8.7,-1
16558,9.3,-1
15998,9.3,-1
15690,9.2,-1
15750,9.2,-1
7775,23,1
7975,9,-1
7995,23,1
8195,9,-1
8495,9,-1
9495,23,1
9995,10,-1
11595,8.5,-1
9980,8.5,-1
13295,8.5,-1
13845,23,1
12290,9,-1
12940,9.5,-1
13415,9.5,-1
15985,9.5,-1
16515,9.5,-1
18420,7.5,-1
18950,7.5,-1
16845,9.5,-1
19045,8.7,-1
21485,8.8,-1
22470,23,1
22625,9.5,-1
