Fare,Survived,category
7.25,1,1
71.2833,-1,-1
7.925,-1,-1
53.1,-1,-1
8.05,1,1
8.4583,1,1
51.8625,1,1
21.075,1,1
11.1333,-1,-1
30.0708,-1,-1
16.7,-1,-1
26.55,-1,-1
8.05,1,1
31.275,1,1
7.8542,1,1
16,-1,-1
29.125,1,1
13,-1,-1
18,1,1
7.225,-1,-1
26,1,1
13,-1,-1
8.0292,-1,-1
35.5,-1,-1
21.075,1,1
31.3875,-1,-1
7.225,1,1
263,1,1
7.8792,-1,-1
7.8958,1,1
27.7208,1,1
146.5208,-1,-1
7.75,-1,-1
10.5,1,1
82.1708,1,1
52,1,1
7.2292,-1,-1
8.05,1,1
18,1,1
11.2417,-1,-1
9.475,1,1
21,1,1
7.8958,1,1
41.5792,-1,-1
7.8792,-1,-1
8.05,1,1
15.5,1,1
7.75,-1,-1
21.6792,1,1
17.8,1,1
39.6875,1,1
7.8,1,1
76.7292,-1,-1
26,-1,-1
61.9792,1,1
35.5,-1,-1
10.5,-1,-1
7.2292,1,1
27.75,-1,-1
46.9,1,1
7.2292,1,1
80,-1,-1
83.475,1,1
27.9,1,1
27.7208,1,1
15.2458,-1,-1
10.5,-1,-1
8.1583,1,1
7.925,-1,-1
8.6625,1,1
10.5,1,1
46.9,1,1
73.5,1,1
14.4542,1,1
56.4958,-1,-1
7.65,1,1
7.8958,1,1
8.05,1,1
29,-1,-1
12.475,-1,-1
9,1,1
9.5,-1,-1
7.7875,-1,-1
47.1,1,1
10.5,-1,-1
15.85,-1,-1
34.375,1,1
8.05,1,1
263,-1,-1
8.05,1,1
8.05,1,1
7.8542,1,1
61.175,1,1
20.575,1,1
7.25,1,1
8.05,1,1
34.6542,1,1
63.3583,-1,-1
23,-1,-1
26,1,1
7.8958,1,1
7.8958,1,1
77.2875,1,1
8.6542,1,1
7.925,1,1
7.8958,1,1
7.65,-1,-1
7.775,-1,-1
7.8958,1,1
24.15,-1,-1
52,1,1
14.4542,1,1
8.05,1,1
9.825,1,1
14.4583,1,1
7.925,1,1
7.75,1,1
21,1,1
247.5208,1,1
31.275,1,1
73.5,1,1
8.05,1,1
30.0708,1,1
13,-1,-1
77.2875,1,1
11.2417,-1,-1
7.75,1,1
7.1417,-1,-1
22.3583,-1,-1
6.975,1,1
7.8958,1,1
7.05,1,1
14.5,1,1
26,-1,-1
13,1,1
15.0458,1,1
26.2833,-1,-1
53.1,1,1
9.2167,1,1
79.2,1,1
15.2458,1,1
7.75,-1,-1
15.85,-1,-1
6.75,1,1
11.5,1,1
36.75,1,1
7.7958,-1,-1
34.375,1,1
26,1,1
13,1,1
12.525,1,1
66.6,-1,-1
8.05,1,1
14.5,1,1
7.3125,1,1
61.3792,1,1
7.7333,-1,-1
8.05,1,1
8.6625,1,1
69.55,1,1
16.1,1,1
15.75,-1,-1
7.775,1,1
8.6625,1,1
39.6875,1,1
20.525,-1,-1
55,-1,-1
27.9,1,1
25.925,1,1
56.4958,1,1
33.5,1,1
29.125,1,1
11.1333,-1,-1
7.925,1,1
30.6958,1,1
7.8542,1,1
25.4667,1,1
28.7125,1,1
13,1,1
1,1,1
69.55,1,1
15.05,1,1
31.3875,1,1
39,-1,-1
22.025,-1,-1
50,1,1
15.5,-1,-1
26.55,-1,-1
15.5,1,1
7.8958,1,1
13,-1,-1
13,1,1
7.8542,-1,-1
26,-1,-1
27.7208,-1,-1
146.5208,-1,-1
7.75,1,1
8.4042,1,1
7.75,-1,-1
13,1,1
9.5,1,1
69.55,1,1
6.4958,1,1
7.225,1,1
8.05,-1,-1
10.4625,1,1
15.85,1,1
18.7875,-1,-1
7.75,-1,-1
31,-1,-1
7.05,1,1
21,-1,-1
7.25,1,1
13,1,1
7.75,1,1
113.275,-1,-1
7.925,-1,-1
27,1,1
76.2917,-1,-1
10.5,1,1
8.05,-1,-1
13,1,1
8.05,1,1
7.8958,1,1
90,-1,-1
9.35,1,1
10.5,-1,-1
7.25,1,1
13,1,1
25.4667,1,1
83.475,-1,-1
7.775,1,1
13.5,1,1
31.3875,-1,-1
10.5,1,1
7.55,1,1
26,1,1
26.25,-1,-1
10.5,1,1
12.275,1,1
14.4542,1,1
15.5,-1,-1
10.5,1,1
7.125,1,1
7.225,1,1
90,1,1
7.775,1,1
14.5,-1,-1
52.5542,-1,-1
26,1,1
7.25,1,1
10.4625,1,1
26.55,1,1
16.1,1,1
20.2125,1,1
15.2458,-1,-1
79.2,-1,-1
86.5,-1,-1
512.3292,-1,-1
26,-1,-1
7.75,1,1
31.3875,-1,-1
79.65,1,1
1,1,1
7.75,1,1
10.5,1,1
39.6875,1,1
7.775,-1,-1
153.4625,-1,-1
135.6333,-1,-1
31,1,1
1,-1,-1
19.5,-1,-1
29.7,1,1
7.75,-1,-1
77.9583,-1,-1
7.75,1,1
1,1,1
29.125,1,1
20.25,-1,-1
7.75,1,1
7.8542,1,1
9.5,1,1
8.05,-1,-1
26,1,1
8.6625,1,1
9.5,-1,-1
7.8958,1,1
13,-1,-1
7.75,-1,-1
78.85,-1,-1
91.0792,-1,-1
12.875,1,1
8.85,1,1
7.8958,1,1
27.7208,1,1
7.2292,1,1
151.55,1,1
30.5,-1,-1
247.5208,-1,-1
7.75,-1,-1
23.25,-1,-1
1,1,1
12.35,-1,-1
8.05,1,1
151.55,-1,-1
110.8833,-1,-1
108.9,-1,-1
24,1,1
56.9292,-1,-1
83.1583,-1,-1
262.375,-1,-1
26,1,1
7.8958,1,1
26.25,1,1
7.8542,-1,-1
26,-1,-1
14,1,1
164.8667,-1,-1
134.5,-1,-1
7.25,1,1
7.8958,1,1
12.35,-1,-1
29,-1,-1
69.55,1,1
135.6333,-1,-1
6.2375,1,1
13,-1,-1
20.525,-1,-1
57.9792,-1,-1
23.25,-1,-1
28.5,1,1
153.4625,1,1
18,1,1
133.65,-1,-1
7.8958,1,1
66.6,1,1
134.5,-1,-1
8.05,-1,-1
35.5,1,1
26,-1,-1
263,-1,-1
13,1,1
13,1,1
13,1,1
13,-1,-1
13,-1,-1
16.1,-1,-1
15.9,-1,-1
8.6625,1,1
9.225,1,1
35,1,1
7.2292,1,1
17.8,1,1
7.225,1,1
9.5,1,1
55,-1,-1
13,1,1
7.8792,-1,-1
7.8792,-1,-1
27.9,1,1
27.7208,1,1
14.4542,1,1
7.05,1,1
15.5,1,1
7.25,1,1
75.25,-1,-1
7.2292,-1,-1
7.75,-1,-1
69.3,-1,-1
55.4417,-1,-1
6.4958,1,1
8.05,1,1
135.6333,1,1
21.075,1,1
82.1708,-1,-1
7.25,-1,-1
211.5,1,1
4.0125,1,1
7.775,1,1
227.525,-1,-1
15.7417,-1,-1
7.925,1,1
52,-1,-1
7.8958,1,1
73.5,1,1
46.9,1,1
13,-1,-1
7.7292,1,1
12,-1,-1
120,-1,-1
7.7958,-1,-1
